,RM,LSTAT,PTRATIO,MEDV,PRED_MEDV_LR,PRED_MEDV_RF
420,6.152,26.45,20.2,182700.0,270212.1523086014,232890.0
421,5.935,34.02,20.2,176400.0,169907.79210072075,216300.0
422,5.627000000000001,22.88,20.2,268800.0,253821.0206732179,234150.0
423,5.818,22.11,20.2,220500.0,281175.1719199547,206220.0
424,6.406000000000001,19.52,20.2,359100.0,367655.73312808963,271740.0
425,6.218999999999999,16.59,20.2,386400.0,378964.8309102825,369810.0
426,6.485,18.85,20.2,323400.0,382604.36992619414,322350.0
427,5.854,23.79,20.2,226800.0,267459.5075428173,220080.0
428,6.459,23.98,20.2,247800.0,326921.56497919094,226170.0
429,6.341,17.79,20.2,312900.0,378943.96951855544,303870.0
430,6.251,16.44,20.2,264600.0,383764.8062456505,360990.0
431,6.185,18.13,20.2,296100.0,359589.5219865002,313950.0
432,6.417000000000001,19.31,20.2,273000.0,370943.9308313532,278040.0
433,6.749,17.44,20.2,281400.0,423987.775540249,299040.0
434,6.655,17.73,20.2,319200.0,411445.27477681515,315420.0
435,6.297000000000001,17.27,20.2,338100.0,379853.2562259991,296730.0
436,7.393,16.74,20.2,373800.0,496611.9539802253,396900.0
437,6.728,18.71,20.2,312900.0,408724.11327412835,310800.0
438,6.525,18.13,20.2,296100.0,394110.2628304519,316890.0
439,5.976,19.01,20.2,266700.0,329270.42818974913,325920.0
440,5.936,16.94,20.2,283500.0,346612.47372827696,302400.0
441,6.301,16.23,20.2,312900.0,391012.73598689673,302820.0
442,6.081,14.7,20.2,420000.0,384495.6232396056,360990.0
443,6.7010000000000005,16.42,20.2,344400.0,429660.81732618215,343350.0
444,6.376,14.65,20.2,371700.0,414964.43064540543,372750.0
445,6.317,13.99,20.2,409500.0,415798.3102956671,433230.0
446,6.513,10.29,20.2,424200.0,473955.62474235793,467040.0
447,6.209,13.22,20.2,449400.0,412794.5159178701,426930.0
448,5.7589999999999995,14.13,20.2,417900.0,357696.11587171874,404040.0
449,5.952000000000001,17.15,20.2,399000.0,346065.6289743862,334740.0
450,6.002999999999999,21.32,20.2,401100.0,308126.928880041,223020.0
451,5.926,18.13,20.2,401100.0,333292.83999066654,360570.0
452,5.712999999999999,14.76,20.2,422100.0,346511.6120826006,363720.0
453,6.167000000000001,16.29,20.2,417900.0,376787.11705778807,377790.0
454,6.229,12.87,20.2,411600.0,418444.06474117184,429240.0
455,6.437,14.36,20.2,487200.0,424156.3889151617,364560.0
456,6.98,11.66,20.2,625800.0,507205.40245810786,406140.0
457,5.4270000000000005,18.14,20.2,289800.0,282525.1785938045,280980.0
458,6.162000000000001,24.1,20.2,279300.0,295525.9109901659,196770.0
459,6.484,18.68,20.2,350700.0,384260.59802553884,334950.0
460,5.303999999999999,24.91,20.2,252000.0,200036.59821954434,253260.0
461,6.185,18.03,20.2,306600.0,360623.4982747721,313950.0
462,6.229,13.11,20.2,449400.0,415962.52164931933,416640.0
463,6.242000000000001,10.74,20.2,483000.0,441787.67036069074,471660.0
464,6.75,7.74,20.2,497700.0,524385.0070933397,506730.0
465,7.061,7.01,20.2,525000.0,563509.3587108685,517020.0
466,5.7620000000000005,10.42,20.2,457800.0,396361.23093875847,389130.0
467,5.871,13.34,20.2,432600.0,377236.0667094272,420840.0
468,6.312,10.58,20.2,445200.0,450549.243772151,451500.0
469,6.114,14.98,20.2,401100.0,384951.032126122,330540.0
470,5.905,11.45,20.2,432600.0,400230.29264216113,413910.0
471,5.454,18.06,20.1,319200.0,288042.3162549338,292110.0
472,5.414,23.97,20.1,147000.0,222873.05398936497,223230.0
473,5.093,29.68,20.1,170100.0,131241.367308721,162120.0
474,5.983,18.07,20.1,285600.0,341649.13011566666,333060.0
475,5.983,13.35,20.1,422100.0,390452.81092209986,422940.0
476,5.707000000000001,12.01,19.2,457800.0,393822.80727716576,384930.0
477,5.926,13.59,19.2,514500.0,399721.4002896035,498330.0
478,5.67,17.6,19.2,485100.0,332266.8639062194,427560.0
479,5.39,21.14,19.2,413700.0,267235.25790049316,345240.0
480,5.794,14.1,19.2,384300.0,381045.9512447062,410550.0
481,6.019,12.92,19.2,445200.0,416091.47935775307,444360.0
482,5.569,15.1,19.2,367500.0,347861.58045054873,378210.0
483,6.027,14.33,19.2,352800.0,402324.6664188595,369390.0
484,6.593,9.67,21.0,470400.0,472899.97553792945,479220.0
485,6.12,9.08,21.0,432600.0,430975.9932293538,443520.0
486,6.976,5.64,21.0,501900.0,553455.819200091,523530.0
487,6.794,6.48,21.0,462000.0,526291.6688680211,522060.0
488,6.03,7.88,21.0,249900.0,434245.8655240411,425670.0
